Date,Open,High,Low,Close,Adj Close,Volume,Date,normalized TSX
2014-01-17,13831.59961,13910.40039,13829.2002,13888.2002,13888.2002,214753400,2014-01-17,0.726599231
2014-01-20,13888.2002,13990.29981,13888.2002,13990.29981,13990.29981,103998900,2014-01-20,1
2014-01-21,13990.2002,13999.59961,13948.29981,13951.79981,13951.79981,213020600,2014-01-21,0.068226382
2014-01-22,13951.79981,13999.59961,13933.59961,13988.2002,13988.2002,250149100,2014-01-22,0.827281606
2014-01-23,13988.2002,14002.40039,13932.29981,13933,13933,192452500,2014-01-23,0.009988433
2014-01-24,13933,13933,13698.29981,13717.79981,13717.79981,208906000,2014-01-24,0.08308472
2014-01-27,13717.79981,13717.79981,13520.5,13582.29981,13582.29981,179324200,2014-01-27,0.313227907
2014-01-28,13583,13706.5,13583,13687.7002,13687.7002,174773700,2014-01-28,0.847774858
2014-01-29,13687.7002,13687.7002,13587.29981,13643.2002,13643.2002,186217300,2014-01-29,0.55677463
2014-01-30,13643.2002,13750.29981,13634.09961,13735.29981,13735.29981,166745000,2014-01-30,0.870912438
2014-01-31,13735.29981,13735.29981,13598,13694.90039,13694.90039,181443300,2014-01-31,0.705757674
2014-02-03,13694.90039,13694.90039,13450.29981,13486.2002,13486.2002,180781600,2014-02-03,0.14677148
2014-02-04,13486.2002,13506.90039,13463.40039,13504.5,13504.5,184282800,2014-02-04,0.944818598
2014-02-05,13504.5,13569.79981,13455.79981,13559.7002,13559.7002,201964600,2014-02-05,0.91140693
2014-02-06,13560.29981,13732.7002,13560.29981,13713.40039,13713.40039,190312000,2014-02-06,0.888052434
2014-02-07,13717.59961,13793.5,13698.40039,13786.5,13786.5,171761900,2014-02-07,0.926392968
2014-02-10,13786.5,13839.5,13780.09961,13794.2002,13794.2002,149925000,2014-02-10,0.23738204
2014-02-11,13794.40039,13926,13794.40039,13881,13881,203680800,2014-02-11,0.658053695
2014-02-12,13881,13947.29981,13881,13900.5,13900.5,201666100,2014-02-12,0.294118512
2014-02-13,13900.5,14001.7002,13839,14001.7002,14001.7002,258103000,2014-02-13,1
2014-02-14,14001.7002,14071.5,13998.2002,14054.79981,14054.79981,189410300,2014-02-14,0.772165901
2014-02-18,14054.79981,14109.79981,14054.79981,14077.5,14077.5,186745100,2014-02-18,0.412730818
2014-02-19,14077.5,14174.29981,14077.5,14119.7002,14119.7002,218225600,2014-02-19,0.435953306
2014-02-20,14119.7002,14222.59961,14112,14210.40039,14210.40039,207862400,2014-02-20,0.889699266
2014-02-21,14212.09961,14253.2002,14205.7002,14205.7002,14205.7002,184286100,2014-02-21,0
2014-02-24,14205.7002,14278.59961,14205.7002,14227.09961,14227.09961,178503900,2014-02-24,0.293547133
2014-02-25,14227.09961,14232.90039,14179.29981,14189,14189,171866800,2014-02-25,0.180971809
2014-02-26,14189.2002,14228.79981,14176.40039,14188.59961,14188.59961,178396700,2014-02-26,0.232812107
2014-02-27,14188.59961,14247.29981,14185.5,14214.7002,14214.7002,182310500,2014-02-27,0.472496556
2014-02-28,14214.40039,14280.90039,14203.40039,14209.59961,14209.59961,210869200,2014-02-28,0.07998991
2014-03-03,14209.7002,14259,14160.90039,14212.7002,14212.7002,173739500,2014-03-03,0.528032726
2014-03-04,14212.7002,14328.5,14212.7002,14289.90039,14289.90039,160309000,2014-03-04,0.666669482
2014-03-05,14289.90039,14309.2002,14261,14304.2002,14304.2002,161986600,2014-03-05,0.89626598
2014-03-06,14304.2002,14323.29981,14264.7002,14271.90039,14271.90039,174335800,2014-03-06,0.122871057
2014-03-07,14276.5,14335.5,14268.79981,14299.09961,14299.09961,169906300,2014-03-07,0.454268597
2014-03-10,14299,14323.40039,14266.79981,14302.09961,14302.09961,134744700,2014-03-10,0.623664992
2014-03-11,14302.09961,14330.40039,14260.09961,14267.2002,14267.2002,158438600,2014-03-11,0.101002945
2014-03-12,14267.2002,14329.79981,14201.2002,14319,14319,178729000,2014-03-12,0.916019924
2014-03-13,14319,14328.7002,14215.29981,14245.09961,14245.09961,182702100,2014-03-13,0.262783964
2014-03-14,14245,14276.90039,14205.7002,14227.7002,14227.7002,153689700,2014-03-14,0.308987913
2014-03-17,14227.7002,14315.2002,14220,14231.90039,14231.90039,155010600,2014-03-17,0.125003851
2014-03-18,14232,14372.5,14228.59961,14369,14369,173980500,2014-03-18,0.97567762
2014-03-19,14369,14380.90039,14297.40039,14334,14334,159487100,2014-03-19,0.438318671
2014-03-20,14332.2002,14377.59961,14264.79981,14361.79981,14361.79981,153130600,2014-03-20,0.859930572
2014-03-21,14361.90039,14406.90039,14335.79981,14335.79981,14335.79981,307306800,2014-03-21,0
2014-03-24,14335.79981,14402.5,14226.90039,14278.59961,14278.59961,163174600,2014-03-24,0.294415337
2014-03-25,14278.59961,14328.40039,14278.59961,14299.5,14299.5,137841000,2014-03-25,0.419679976
2014-03-26,14299.90039,14345.40039,14179.5,14184.09961,14184.09961,192881400,2014-03-26,0.027725125
2014-03-27,14184.09961,14197.7002,14139.29981,14178.79981,14178.79981,189633800,2014-03-27,0.676365346
2014-03-28,14178.79981,14300.2002,14178.79981,14260.7002,14260.7002,172798400,2014-03-28,0.67463037
2014-03-31,14260.7002,14358.5,14260.7002,14335.29981,14335.29981,210506200,2014-03-31,0.762778719
2014-04-01,14335.29981,14390.29981,14335.29981,14380.59961,14380.59961,155762500,2014-04-01,0.8236328
2014-04-02,14380.59961,14471.5,14380.59961,14459.09961,14459.09961,206406300,2014-04-02,0.863582644
2014-04-03,14459.09961,14459.09961,14352.09961,14402.2002,14402.2002,154667400,2014-04-03,0.468229776
2014-04-04,14402.09961,14474.7002,14364,14393.09961,14393.09961,165402500,2014-04-04,0.262868634
2014-04-07,14393.09961,14393.09961,14247.09961,14270.29981,14270.29981,151538100,2014-04-07,0.158905452
2014-04-08,14270.29981,14382.79981,14251.90039,14372.5,14372.5,161334500,2014-04-08,0.921315118
2014-04-09,14372.40039,14444.59961,14372.40039,14435.59961,14435.59961,182481700,2014-04-09,0.87534491
2014-04-10,14435.59961,14444.90039,14266.59961,14308,14308,209549500,2014-04-10,0.232194108
2014-04-11,14308,14308,14221.40039,14257.7002,14257.7002,159710900,2014-04-11,0.41916822
2014-04-14,14257.7002,14357,14245.5,14284.40039,14284.40039,161845500,2014-04-14,0.34888243
2014-04-15,14284.40039,14355.5,14224.90039,14303.90039,14303.90039,176427100,2014-04-15,0.60490227
2014-04-16,14303.90039,14448.59961,14303.90039,14446.5,14446.5,196046500,2014-04-16,0.985489839
2014-04-17,14446.5,14508.5,14423.7002,14500.40039,14500.40039,169281200,2014-04-17,0.904485523
2014-04-21,14500.40039,14509.7002,14232.29981,14493.7002,14493.7002,135970800,2014-04-21,0.942321638
